,name,percent_change,values
0,Bitcoin,1h,-0.32316284333333334
1,Bitcoin,24h,3.4107290266666666
2,Bitcoin,7d,-4.059583991666667
3,Bitcoin,30d,6.129083071666667
4,Bitcoin,60d,58.301886638333336
5,Bitcoin,90d,53.87758876833333
6,Ethereum,1h,-0.3948571416666667
7,Ethereum,24h,0.024753324999999996
8,Ethereum,7d,-8.168023133333334
9,Ethereum,30d,-8.144392715
10,Ethereum,60d,43.246385833333335
11,Ethereum,90d,45.813615515
12,Tether USDt,1h,0.007031258333333334
13,Tether USDt,24h,0.028962413333333336
14,Tether USDt,7d,0.041967995
15,Tether USDt,30d,-0.011469801666666668
16,Tether USDt,60d,0.07716594333333333
17,Tether USDt,90d,-0.06119195833333333
18,BNB,1h,-0.8294981283333334
19,BNB,24h,-0.34976989499999994
20,BNB,7d,-5.867342088333333
21,BNB,30d,44.318297269999995
22,BNB,60d,89.74017015
23,BNB,90d,86.75405197333333
24,Solana,1h,-1.525788385
25,Solana,24h,-2.795959676666667
26,Solana,7d,-6.5108329199999995
27,Solana,30d,43.34044855833333
28,Solana,60d,83.16141842666666
29,Solana,90d,79.44650515166667
30,USDC,1h,-0.008371718333333333
31,USDC,24h,-0.0012471933333333333
32,USDC,7d,-0.00990052
33,USDC,30d,0.00021784999999999966
34,USDC,60d,-0.052187905
35,USDC,90d,-0.023338713333333334
36,XRP,1h,-0.636838575
37,XRP,24h,3.0583276966666673
38,XRP,7d,-6.3127434099999995
39,XRP,30d,-0.8408773583333332
40,XRP,60d,15.627663613333333
41,XRP,90d,1.6804690100000002
42,Dogecoin,1h,-1.526292055
43,Dogecoin,24h,-0.025365634999999997
44,Dogecoin,7d,-19.176010773333335
45,Dogecoin,30d,13.666935966666665
46,Dogecoin,60d,122.888181805
47,Dogecoin,90d,112.27579821333332
48,Cardano,1h,-0.5146272616666666
49,Cardano,24h,1.4803410966666666
50,Cardano,7d,-11.892496776666666
51,Cardano,30d,-16.171933873333334
52,Cardano,60d,15.284996620000001
53,Cardano,90d,7.5458148666666665
54,Toncoin,1h,-1.1851935583333333
55,Toncoin,24h,4.2011239683333335
56,Toncoin,7d,4.858082015
57,Toncoin,30d,97.61227530333333
58,Toncoin,60d,150.15045483
59,Toncoin,90d,145.29437191
60,Avalanche,1h,-0.802414255
61,Avalanche,24h,-1.1824226516666665
62,Avalanche,7d,-16.45208713
63,Avalanche,30d,16.291795446666665
64,Avalanche,60d,29.95290171166667
65,Avalanche,90d,27.73819210666667
66,Shiba Inu,1h,-1.05568224
67,Shiba Inu,24h,2.5959301883333334
68,Shiba Inu,7d,-13.897742463333332
69,Shiba Inu,30d,-18.592286376666667
70,Shiba Inu,60d,200.68045783166667
71,Shiba Inu,90d,175.82561334666664
72,Bitcoin Cash,1h,1.2449204483333334
73,Bitcoin Cash,24h,12.962973406666668
74,Bitcoin Cash,7d,22.46033402
75,Bitcoin Cash,30d,78.00924499833333
76,Bitcoin Cash,60d,198.64971684
77,Bitcoin Cash,90d,192.03503271166664
78,Polkadot,1h,-0.82908648
79,Polkadot,24h,0.09642229166666666
80,Polkadot,7d,-11.910831001666667
81,Polkadot,30d,-9.981805038333333
82,Polkadot,60d,21.923060985000003
83,Polkadot,90d,14.124192415000001
84,TRON,1h,-0.1671418583333333
85,TRON,24h,1.5516934749999998
86,TRON,7d,-1.3990057766666666
87,TRON,30d,-12.710910513333333
88,TRON,60d,-0.5233437799999999
89,TRON,90d,14.723385846666666
